,X,A2,A3,A5,A7,A8,B3,Age,B7,B9,B11,B12,C2,C12,E2_9group,E4_21group,E6,E7,E9,E10,E13,E13_1,E14_1,E14_2,E14_Result,E16,E17,E22,E23,E24,G1_1,G1_2,Weights_1,WeightsCalib_1,Weights_Year,WeightsCalib_Year,resident,nonresident,LR_WAP,LF,PNLF,empj,underemployed,iempj,emsj,iemsj,LU1_unemployed,LU2_combined,LU3_potential,LU4_composite,long_term_unemployed
432,432,1,8,2,7,5,1,29,8,2,2,5,1,1,6,1,1,4,3,3,1,2,0,70000,2,4,2,1,7,1,48,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
433,433,2,8,2,4,4,1,50,10,2,2,5,1,1,6,1,1,4,3,3,1,1,1E+05,25000,5,4,2,1,7,2,21,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
434,434,2,8,2,4,4,2,43,7,2,2,5,1,1,6,1,1,4,3,3,1,1,0,7000,2,4,2,1,7,2,14,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
435,435,3,8,2,6,5,1,54,5,2,2,3,1,1,1,1,1,3,3,3,1,4,450000,30000,5,4,1,1,7,1,56,7,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
436,436,4,8,2,5,4,2,61,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,15000,2,4,1,1,7,2,21,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
437,437,4,8,2,5,4,1,25,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,20000,2,4,1,4,7,2,10,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
438,438,5,8,2,4,4,1,57,5,2,2,3,1,1,6,1,1,4,3,3,1,2,12000,80000,5,5,1,1,7,1,35,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
440,440,6,8,2,4,3,1,47,4,2,2,5,1,1,6,1,1,4,3,3,1,1,0,7000,2,4,1,4,7,2,28,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
442,442,7,8,2,5,5,2,37,5,2,2,5,1,1,6,1,1,4,3,3,1,2,25000,15000,5,4,1,1,7,1,35,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
444,444,8,8,2,2,2,1,63,7,2,2,5,1,1,6,1,1,4,3,3,1,1,0,25000,2,4,1,1,7,2,10,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
445,445,8,8,2,2,2,2,57,7,2,2,5,1,1,6,1,1,4,3,3,1,1,0,18000,2,4,1,1,7,2,21,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
447,447,11,8,2,4,4,1,57,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,15000,2,4,1,4,7,2,28,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
448,448,11,8,2,4,4,1,31,5,2,1,5,1,1,6,1,1,4,3,3,1,1,0,27000,2,4,1,1,7,2,10,0,406.341613316261,785.459695402475,107.73059949759,200.971772008605,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
449,449,2,8,2,6,4,1,59,7,2,2,3,1,1,6,1,1,4,3,3,1,1,12000,0,1,4,1,1,7,1,35,0,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
452,452,6,8,2,6,4,1,56,7,2,2,5,1,1,6,1,1,4,3,3,1,1,1E+05,25000,5,5,1,1,7,2,28,0,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
454,454,6,8,2,6,4,1,25,6,2,2,5,1,1,6,1,1,4,3,3,1,1,0,25000,2,4,1,1,7,2,30,0,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
456,456,7,8,2,6,4,2,50,7,2,4,3,1,1,6,1,1,4,3,3,1,1,0,7000,2,4,1,1,7,1,35,0,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
